id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
602,Tanks,T-80BVM,Destroyed,Russia,2022-02-24,"Kharkiv, Kharkiv raion","50.0549042,36.3615697",71st Guards Motor Rifle Division (ex-200th Brigade),"Turretless, Mine plow/roller"
954,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,2022-02-24,"Kharkiv, Kharkiv raion","50.054933,36.360974",68th Motor Rifle Division (ex-25th Brigade),
1039,Anti-aircraft systems,MT-LB(V) with ZU-23 AA gun,Destroyed,Russia,2022-02-24,"Preobrazhenka, Skadovsk raion","46.191390,33.653860",,"Z, ⧸"
1367,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2022-02-24,"Rivnopillia, Chernihiv raion","51.6151,31.22244",74th Separate Guards Motor Rifle Brigade,"Turretless, O"
1590,Infantry fighting vehicles,BMP-2(K),Captured,Russia,2022-02-24,"Shchastia, Shchastia raion","48.741018,39.229218",,Z
2251,Infantry mobility vehicles,KamAZ-63968 'Typhoon-K',Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.312451,34.864655",96th Separate Reconnaissance Brigade,
2272,Infantry mobility vehicles,ASN-233115 'Tigr-M SpN',Destroyed,Russia,2022-02-24,"Alisivka, Kharkiv raion","50.270580,36.285770",,
2273,Infantry mobility vehicles,ASN-233115 'Tigr-M SpN',Destroyed,Russia,2022-02-24,"Rivnopillia, Chernihiv raion","51.6164,31.22163",74th Separate Guards Motor Rifle Brigade,Flipped
2274,Engineering,MTP-A2.1 recovery vehicle,Destroyed,Russia,2022-02-24,"Rivnopillia, Chernihiv raion","51.6164,31.22163",74th Separate Guards Motor Rifle Brigade,
2374,Infantry mobility vehicles,Iveco LMV,Captured,Russia,2022-02-24,"Chernechchyna, Okhtyrka raion","50.31875,34.782028",96th Separate Reconnaissance Brigade,
2401,"Command posts, communication",R-149MA1 command and staff vehicle,Captured,Russia,2022-02-24,Kharkiv oblast,,,"Z, ☐"
2427,"Command posts, communication",MSh-5350.1 command vehicle,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.312331,34.865166",96th Separate Reconnaissance Brigade,"KUNG, Additional armour"
2545,Engineering,TMM-3 bridge layer,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.29496,34.88862",423rd Motor Rifle Regiment,
2612,Engineering,EOV-3523 (KamAZ 6x6) excavator,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.29504,34.88867",423rd Motor Rifle Regiment,
2628,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,Russia,2022-02-24,"Konotop, Konotop raion","51.25051664748468,33.22266558103727",,"O, Damaged"
2852,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,2022-02-24,"Lisne, Kharkiv raion","50.093500,36.263194",71st Guards Motor Rifle Division (ex-200th Brigade),"Z, ☐"
2863,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,2022-02-24,"Lisne, Kharkiv raion","50.095162,36.265003",71st Guards Motor Rifle Division (ex-200th Brigade),"Z, ☐"
2902,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Captured,Russia,2022-02-24,"Lisne, Kharkiv raion","50.093798,36.263415",71st Guards Motor Rifle Division (ex-200th Brigade),"Z, Damaged, ☐"
3023,Anti-aircraft systems,9A331M TLAR (for 9K332 'Tor-M2'),Destroyed,Russia,2022-02-24,"Preobrazhenka, Skadovsk raion","46.191417,33.653917",,Z
3084,Airplanes,An-26 transport aircraft,Destroyed,Russia,2022-02-24,"Uryv-Pokrovka, Ostrogozhsk raion","51.0986,39.14532",30th Separate Transport Mixed Aviation Regiment,Shattered
3098,Helicopters,Mi-24P attack helicopter,Destroyed,Russia,2022-02-24,"Vyshhorod, Vyshhorod raion","50.610377,30.514823",17th Guards Army Aviation Brigade,"Shattered, Underwater"
3104,Helicopters,Mi-24VM (Mi-35M) attack helicopter,Destroyed,Russia,2022-02-24,Kyiv oblast,,16th Army Aviation Brigade,"Shattered, V, Underwater"
3125,Helicopters,Ka-52 'Alligator' attack helicopter,Destroyed,Russia,2022-02-24,"Hostomel, Bucha raion","50.59318,30.21376",319th Separate Helicopter Regiment,Shattered
3128,Helicopters,Ka-52 'Alligator' attack helicopter,Captured,Russia,2022-02-24,"Hostomel, Bucha raion","50.57404,30.19306",18th Army Aviation Brigade,"V, Damaged"
3469,Transport,Ural-4320,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion",,423rd Motor Rifle Regiment,
3670,"Command posts, communication",AShT-4310 topographic command and staff vehicle,Destroyed,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.31167,34.93246",,KUNG
3827,Transport,KamAZ 6x6,Destroyed,Russia,2022-02-24,"Lisne, Kharkiv raion","50.094139,36.263593",71st Guards Motor Rifle Division (ex-200th Brigade),Shattered
3880,Anti-aircraft systems,KamAZ 6x6 with ZU-23 AA gun,Captured,Russia,2022-02-24,"Kharkiv, Kharkiv raion","50.054355,36.360811",Rosgvardiya,"Z, ☐"
3901,Transport,KamAZ 6x6,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.31153,34.93544",4th Guards Tank Division,
3948,"Command posts, communication",SA-14RM/SM encryption command post,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.312333,34.915306",96th Separate Reconnaissance Brigade,"KUNG, Additional armour"
4290,Transport,KamAZ 6x6,Destroyed,Russia,2022-02-24,"Lisne, Kharkiv raion","50.094313,36.263719",71st Guards Motor Rifle Division (ex-200th Brigade),Shattered
6078,Infantry mobility vehicles,ASN-233115 'Tigr-M SpN',Damaged,Russia,2022-02-24,"Kharkiv, Kharkiv raion",,,"Z, ☐"
6082,Engineering,IMR-2(M) combat engineering vehicle,Destroyed,Russia,2022-02-24,"Snovsk, Koriukivka raion","51.80490,31.96390",,
6336,Infantry mobility vehicles,UAZ-394511 'Esaul',Destroyed,Russia,2022-02-24,Kyiv oblast,,Rosgvardiya,
6600,Transport,KamAZ 6x6,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.31168090503014,34.935600304335054",27th Separate Guards Motor Rifle Brigade,"O, Damaged"
6910,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,2022-02-24,"Kharkiv, Kharkiv raion","50.054334,36.360510",68th Motor Rifle Division (ex-25th Brigade),"Z, ☐"
6911,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,2022-02-24,"Kharkiv, Kharkiv raion","50.054143,36.360185",68th Motor Rifle Division (ex-25th Brigade),"Z, ☐"
7095,Transport,KamAZ 6x6,Destroyed,Russia,2022-02-24,"Lisne, Kharkiv raion","50.094211,36.263659",71st Guards Motor Rifle Division (ex-200th Brigade),Shattered
7407,"Command posts, communication",R-149MA1 command and staff vehicle,Destroyed,Russia,2022-02-24,"Liubymivka, Kakhovka raion","46.780108183536385,33.58799011497186",,
12206,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,2022-02-24,Kharkiv oblast,,,"Z, ☐"
12716,Transport,Ural-4320,Destroyed,Russia,2022-02-24,"Ivankiv, Vyshhorod raion","50.9277,29.8728",,V
28309,Transport,Ural-4320,Destroyed,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.308893,34.879350",,
29241,Engineering,KMV-10V crane,Captured,Russia,2022-02-24,"Okhtyrka, Okhtyrka raion","50.311056,34.944889",,
38505,Infantry fighting vehicles,MT-LB(V) with hydraulic dozer blade,Captured,Russia,2022-02-24,"Soldatske, Okhtyrka raion","50.419978,35.206466",13th Guards Tank Regiment,
