id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
42054,Tanks,Unknown T-72 Obr. 2022,Destroyed,Russia,2026-01-01,"Poltavka, Kramatorsk raion","48.43497,37.46260",,"Cope cage, Additional armour"
42095,"Radars, jammers",50N6A multi-functional radar (for 50R6A S-350 'Vityaz'),Destroyed,Russia,2026-01-01,Donetsk oblast,,,"Cope cage, Loitering, Additional armour"
43093,Self-propelled artillery,122mm 2S1 'Gvozdika',Destroyed,Russia,2026-01-01,"Novopavlivka, Pokrovsk raion","48.249081,37.224379",,"Cope cage, Additional armour"
42013,Other,'Kuryer' logistics UGV,Destroyed,Russia,2026-01-03,"Dibrova, Kramatorsk raion",,,
42012,Transport,'Ulan-2' all-terrain vehicle,Destroyed,Russia,2026-01-04,Donetsk oblast,,,"Cope cage, Jammer"
42114,Drones,ZALA Z-16 (421-16Е) reconnaissance UAV,Captured,Russia,2026-01-04,Dnipropetrovsk oblast,,,Damaged
42132,Drones,'Orlan-10' reconnaissance UAV,Captured,Russia,2026-01-04,,,,
42055,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,2026-01-05,"Kramatorsk raion, Donetsk oblast",,,Jammer
42127,Infantry fighting vehicles,MT-LB(V),Destroyed,Russia,2026-01-05,"Chasiv Yar, Bakhmut raion","48.579659,37.839473",,"Cope cage, Expanded cabin, Additional armour"
42267,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2026-01-05,"Pokrovsk, Pokrovsk raion","48.26848,37.18389",27th Guards Motor Rifle Division (ex-21st Brigade),"Cope cage, Jammer, Additional armour"
42286,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,2026-01-05,"Pokrovsk, Pokrovsk raion","48.252782,37.187024",,Jammer
42316,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,2026-01-05,"Novotoretske (Shakhove hromada), Pokrovsk raion","48.397548,37.332378",,Jammer
42098,Other,'Kuryer' mine-laying UGV,Destroyed,Russia,2026-01-06,"Kupiansk raion, Kharkiv oblast",,,Flipped
31560,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,2026-01-07,"Ivano-Darivka, Bakhmut raion","48.791889,38.208837",123rd Separate Guards Motor Rifle Brigade (ex-2nd Brigade LNR),"Cope cage, Additional armour"
42071,Transport,'Ulan' all-terrain vehicle,Destroyed,Russia,2026-01-07,"Obryvka, Kakhovka raion","46.661788,33.222597",,
42091,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,2026-01-07,"Spirne, Bakhmut raion","48.786488,38.225231",,"Turtle, Hedgehog"
42097,Infantry fighting vehicles,BMP-3,Destroyed,Russia,2026-01-07,"Polohy raion, Zaporizhzhia oblast",,,Turretless
