week,weekly_losses,cumulative_losses,rolling_4_week_avg
2022-02-21,320,320,320.0
2022-02-28,585,905,452.5
2022-03-07,295,1200,400.0
2022-03-14,432,1632,408.0
2022-03-21,309,1941,405.25
2022-03-28,747,2688,445.75
2022-04-04,369,3057,464.25
2022-04-11,189,3246,403.5
2022-04-18,128,3374,358.25
2022-04-25,187,3561,218.25
2022-05-02,203,3764,176.75
2022-05-09,222,3986,185.0
2022-05-16,101,4087,178.25
2022-05-23,51,4138,144.25
2022-05-30,133,4271,126.75
2022-06-06,116,4387,100.25
2022-06-13,104,4491,101.0
2022-06-20,81,4572,108.5
2022-06-27,128,4700,107.25
2022-07-04,99,4799,103.0
2022-07-11,61,4860,92.25
2022-07-18,67,4927,88.75
2022-07-25,91,5018,79.5
2022-08-01,65,5083,71.0
2022-08-08,92,5175,78.75
2022-08-15,46,5221,73.5
2022-08-22,83,5304,71.5
2022-08-29,132,5436,88.25
2022-09-05,372,5808,158.25
2022-09-12,408,6216,248.75
2022-09-19,176,6392,272.0
2022-09-26,253,6645,302.25
2022-10-03,291,6936,282.0
2022-10-10,154,7090,218.5
2022-10-17,135,7225,208.25
2022-10-24,131,7356,177.75
2022-10-31,122,7478,135.5
2022-11-07,229,7707,154.25
2022-11-14,130,7837,153.0
2022-11-21,65,7902,136.5
2022-11-28,273,8175,174.25
2022-12-05,73,8248,135.25
2022-12-12,45,8293,114.0
2022-12-19,37,8330,107.0
2022-12-26,90,8420,61.25
2023-01-02,51,8471,55.75
2023-01-09,60,8531,59.5
2023-01-16,49,8580,62.5
2023-01-23,66,8646,56.5
2023-01-30,69,8715,61.0
2023-02-06,116,8831,75.0
2023-02-13,70,8901,80.25
2023-02-20,77,8978,83.0
2023-02-27,143,9121,101.5
2023-03-06,57,9178,86.75
2023-03-13,81,9259,89.5
2023-03-20,86,9345,91.75
2023-03-27,64,9409,72.0
2023-04-03,52,9461,70.75
2023-04-10,43,9504,61.25
2023-04-17,44,9548,50.75
2023-04-24,73,9621,53.0
2023-05-01,56,9677,54.0
2023-05-08,56,9733,57.25
2023-05-15,72,9805,64.25
2023-05-22,73,9878,64.25
2023-05-29,86,9964,71.75
2023-06-05,74,10038,76.25
2023-06-12,98,10136,82.75
2023-06-19,90,10226,87.0
2023-06-26,79,10305,85.25
2023-07-03,96,10401,90.75
2023-07-10,85,10486,87.5
2023-07-17,107,10593,91.75
2023-07-24,93,10686,95.25
2023-07-31,92,10778,94.25
2023-08-07,72,10850,91.0
2023-08-14,89,10939,86.5
2023-08-21,86,11025,84.75
2023-08-28,132,11157,94.75
2023-09-04,108,11265,103.75
2023-09-11,52,11317,94.5
2023-09-18,75,11392,91.75
2023-09-25,100,11492,83.75
2023-10-02,72,11564,74.75
2023-10-09,156,11720,100.75
2023-10-16,147,11867,118.75
2023-10-23,86,11953,115.25
2023-10-30,134,12087,130.75
2023-11-06,85,12172,113.0
2023-11-13,76,12248,95.25
2023-11-20,40,12288,83.75
2023-11-27,85,12373,71.5
2023-12-04,86,12459,71.75
2023-12-11,66,12525,69.25
2023-12-18,92,12617,82.25
2023-12-25,117,12734,90.25
2024-01-01,82,12816,89.25
2024-01-08,81,12897,93.0
2024-01-15,105,13002,96.25
2024-01-22,89,13091,89.25
2024-01-29,96,13187,92.75
2024-02-05,72,13259,90.5
2024-02-12,110,13369,91.75
2024-02-19,133,13502,102.75
2024-02-26,167,13669,120.5
2024-03-04,123,13792,133.25
2024-03-11,123,13915,136.5
2024-03-18,115,14030,132.0
2024-03-25,159,14189,130.0
2024-04-01,185,14374,145.5
2024-04-08,142,14516,150.25
