week,weekly_losses,cumulative_losses,rolling_4_week_avg
2025-12-29,7,7,7.0
2026-01-05,27,34,17.0
2026-01-12,27,61,20.333333333333332
2026-01-19,26,87,21.75
2026-01-26,19,106,24.75
2026-02-02,21,127,23.25
2026-02-09,26,153,23.0
2026-02-16,29,182,23.75
2026-02-23,28,210,26.0
2026-03-02,27,237,27.5
2026-03-09,55,292,34.75
2026-03-16,56,348,41.5
2026-03-23,45,393,45.75
2026-03-30,26,419,45.5
2026-04-06,19,438,36.5
2026-04-13,37,475,31.75
2026-04-20,23,498,26.25
2026-04-27,29,527,27.0
2026-05-04,32,559,30.25
2026-05-11,26,585,27.5
2026-05-18,54,639,35.25
2026-05-25,49,688,40.25
2026-06-01,31,719,40.0
2026-06-08,55,774,47.25
2026-06-15,40,814,43.75
2026-06-22,44,858,42.5
2026-06-29,33,891,43.0
2026-07-06,44,935,40.25
2026-07-13,28,963,37.25
2026-07-20,33,996,34.5
2026-07-27,26,1022,32.75
2026-08-03,24,1046,27.75
2026-08-10,23,1069,26.5
2026-08-17,23,1092,24.0
2026-08-24,28,1120,24.5
2026-08-31,13,1133,21.75
2026-09-07,2,1135,16.5
